key_documento,paper,T1,T2,T3,T4,T5,T6,T7,T8,n_temas
YZHXUBN7,Riess et al. - 2023 - A DIGITAL LEARNING ENVIRONMENT TWIN OF A LAB ON PROTOTYPING TO GIVE ENGINEERING STUDENTS DIGITAL ACC,1,0,0,0,1,1,1,0,4
C73RZ7X8,Rigó et al. - 2026 - Digital Twin of a Material Handling System Based on a Physical Construction-Kit Model for Educationa,1,1,0,0,0,0,0,1,3
YXRMLV7A,"S - 2026 - A Study On Impact Of Remote, Twin-Based Labs On Student Performance And Engagement",1,0,0,0,1,1,0,1,4
76777Q2X,Sakkas et al. - 2025 - Multiplayer Virtual Labs for Electronic Circuit Design A Digital Twin-Based Learning Approach,1,1,0,0,1,1,1,0,5
9T5MJ96J,"Shehadeh et al. - 2026 - Emerging WEFE technologies in engineering education Integration of optimization, explainable AI, di",1,0,1,0,1,1,1,1,6
PI838F5U,Speicher et al. - 2026 - Digital twin technology for engineering education An experiential learning case study,0,0,0,1,1,1,0,1,4
3ZZDNR2Z,"Szántó et al. - 2024 - Development of an Immersive, Digital Twin-Supported Smart Reconfigurable Educational Platform for Ma",1,1,0,1,1,0,0,1,5
ASVWVQ3C,Tarng et al. - 2024 - Application of Virtual Reality in Developing the Digital Twin for an Integrated Robot Learning Syste,1,1,0,0,1,1,0,1,5
ZMKNFA6J,Terkaj et al. - 2024 - A framework for the design and use of virtual labs in digital engineering education.,1,1,0,0,1,1,1,1,6
BY9KWQ9X,Terkaj et al. - 2024 - Virtual labs for higher education in industrial engineering.,1,0,0,1,1,1,1,0,5
P242H59T,Tjahyadi et al. - 2023 - Digital Twin Based Laboratory for Control Engineering Education,1,1,0,1,0,0,0,1,4
4S7PWRLU,Toivonen et al. - 2018 - The FMS Training Center - A versatile learning environment for engineering education,1,1,0,1,1,0,0,1,5
HM4FMFEF,Usman et al. - 2023 - Re-envisioning Field Surveying as an Immersive Gamification Experience,1,0,0,1,1,1,0,0,4
JACDIDHQ,Veitia et al. - 2025 - When Virtual Reality Reinvents Training The Cnam Bet with CAP’VR,1,0,0,1,1,1,0,1,5
2G3VN26R,Vásquez-López et al. - 2025 - Enhancing Engineering Education through Digital Twins and Interdisciplinary Collaboration,0,0,0,1,1,0,0,1,3
M42IKCPV,Wang et al. - 2025 - Digital Empowerment Reform of Wind Farm Curriculum Design Based on Virtual Reality Integration,1,0,0,1,1,1,1,0,5
VY7P5782,Wang et al. - 2025 - Innovative Exploration of the “Four-Dimensional Linkage” Teaching System of Network Security Based o,0,0,0,1,1,1,0,1,4
5XDK88YB,Wu - 2025 - Teaching Reform Practices of Quality and Engineering Management in the Context of Curriculum-based I,0,0,0,1,1,1,0,1,4
3KBLZJAI,Xinyi y Liye - 2025 - Teaching Reform and Reflections on Industrial IoT Curriculum under the Dual Needs of Industry 4.0 an,0,0,0,1,1,1,0,1,4
Q4TC3ILQ,Yin - 2025 - Research on the Design and Development of Intelligent Manufacturing Production Platform Based on Dig,0,1,0,1,0,1,0,1,4
V9TXVKGR,Zhang et al. - 2025 - AI-Driven Reconstruction and Optimization of Teaching Model for Fault Detection and Diagnosis in Ind,0,0,1,1,1,1,0,0,4
GHSMNFS4,Zhou et al. - 2024 - Applications of augmented reality (AR) in chemical engineering education Virtual laboratory work de,1,0,0,1,1,0,0,1,4
6J8AMAN8,Álvarez Ariza y Hernández Hernández - 2026 - Investigating the Impact of Education 4.0 and Digital Learning on Students' Learning Outcomes in Eng,0,0,1,0,1,1,0,0,3
