,0,1,2
Environment__Hybrid physical-virtual,0.7631633534418257,-0.10454288478584514,-0.30915487338538256
Environment__Immersive (VR/AR/MR),0.21310924134811152,-0.8071169862056129,-0.3378539154753644
Environment__Learning factory,1.7589210760827387,3.69061279135002,4.436342979062596
Environment__NR,-0.6210288811946012,0.5201000620601086,2.5203619133140537e-05
Environment__Remote,-0.09140429771659903,-1.0444009860054986,0.8114794175910107
Environment__Virtual-only,-0.028545742849864386,-1.1052506035347052,0.5327381468011747
Maturity__Digital model,1.2074339498464628,-0.22635275677398625,-1.0245742361250096
Maturity__Digital shadow,0.8240331152384086,-0.20121960574004247,0.2490485571588991
Maturity__Digital twin,1.5544601981276862,0.5120240373139096,-0.002905487514911434
Maturity__NR,-0.47915463271898256,-0.07415639098265563,-0.014674697634854749
Sync__Asynchronous,1.4402852583690282,0.007358337775999681,-0.5245565311934897
Sync__Bidirectional,1.6750667035272204,0.08827767999224478,-2.4426338541895647
Sync__NR,-0.515905482335507,-0.12706224120008686,-0.06550296849058115
Sync__Real-time,1.0615651738315832,0.34540805115421386,0.5551258970526409
AI__AI,-0.13751959142003467,0.2815578799637523,1.269742862241845
AI__no-AI,0.019300995287022525,-0.03951689543350909,-0.17820952452517125
Immersive__immersive,0.4080674496064051,-0.7025362762928226,-0.3136339421922187
Immersive__non-immersive,-0.22346550811779312,0.38472224654130754,0.17175192072431011
Pedagogy__ADDIE,-0.8353496046061172,-2.5363003861605433,1.3292016005337244
Pedagogy__Active learning,-0.6789957527703715,-0.02468595024773362,0.18340860152595018
Pedagogy__Challenge-based,-0.31017181351803835,0.29996895698459713,-0.05366681454548442
Pedagogy__Experiential,-0.4268628062334796,-0.17157972919458517,0.03078667843171426
Pedagogy__Learning factory,1.6553996356981888,2.425251526663381,2.8792183138570815
Pedagogy__NR,0.9903663547117614,-0.18571834021493985,-0.4107970518124396
Pedagogy__Project-based (PBL),-1.1801780279718515,2.220762462499963,-1.3229238034847977
Level__Graduate,-1.176483175954575,1.7278469851730358,-1.0037711791933464
Level__Mixed,0.12514059844808442,0.8273347165935603,0.7943227394566279
Level__NR,1.10624431024657,-0.24201835659866924,-0.38350614986647963
Level__Technical/vocational,-0.7017216916983297,-0.7791053705725811,0.5167730906909995
Level__Undergraduate,-0.4802628658307107,-0.2072761284430778,0.20557171562850177
Design__Case study / survey / pilot,-0.9992599702471586,-0.7897577526321983,0.7836399892009268
Design__Conceptual / design-development,-0.0752437326905997,-0.9479623136838575,0.3723794563924583
Design__Experiment,-0.6351963451021425,0.965691123655227,-1.4483931987834704
Design__Mixed-methods,-1.3389710388984186,0.3781631246925343,0.17081805751173698
Design__NR,0.5150388099749523,0.1770492460188159,0.09720190721941536
Design__Quasi-experiment,-0.7260371104717203,0.6563447412624285,-1.4885858882021494
EvidenceBand__Moderate,-1.2363429130878882,0.29683118142134335,-0.20365758935433706
EvidenceBand__Strong,-0.4875054876700903,1.0044288283647251,-1.734682385715948
EvidenceBand__Weak,-0.24465145635653887,-0.8703492066213104,0.44937694065909
EvidenceBand__non-empirical,0.6564661898786706,0.313884272546305,0.05741496696471027
Barriers__barriers,0.22150977282439818,-0.5082743720243148,-0.34539485480653476
Barriers__no-barriers,-0.060806604304736625,0.1395262982027531,0.09481427386846042
