study,configuration,environment,dt_type,ai,pedagogy,system_modelled,evidence_band
"Sakkas et al., 2025",Full-stack (T1+T2+T5+T6),Virtual-only,Digital shadow,—,Active learning,"circuitos electrónicos (Arduino, ESP3…",Weak
"Tarng et al., 2024",Full-stack (T1+T2+T5+T6),Hybrid physical-virtual,Digital twin,—,—,WLKATA six-axis industrial robotic ar…,Strong
"Terkaj et al., 2024a",Full-stack (T1+T2+T5+T6),Hybrid physical-virtual,NR,—,—,planta de manufactura,Weak
"Machado et al., 2025",Architecture+AI+evidence (T2+T3+T6),Remote,NR,"CNN, IA generativa, LLM, data…",—,"planta de manufactura (CP-LAB, CPLAB_…",Weak
