tema,T1,T2,T3,T4,T5,T6,T7,T8
T1,38,18,5,23,23,18,18,17
T2,18,26,4,18,12,8,8,14
T3,5,4,11,8,7,6,3,2
T4,23,18,8,47,34,22,8,21
T5,23,12,7,34,47,31,14,20
T6,18,8,6,22,31,35,12,14
T7,18,8,3,8,14,12,21,5
T8,17,14,2,21,20,14,5,28
