configuracion,n_articulos,pct_corpus,claves
robust_arch_ai_evidence (T2+T3+T6),1,1.5,"Machado et al., 2025"
pedagogy_no_evidence (T5 & !T6),16,24.6,"Boltsi et al., 2025; Fu et al., 2025; Hagedorn et al., 2023; Heidarinejad et al., 2023; Hu et al., 2025; Häfner et al., 2024; Keaveney et al., 2021; Kumarasinghe et al., 2025; Morris et al., 2023; Mourtzis et al., 2022; Nikolaev et al., 2018; Promyoo et al., 2019; Szántó et al., 2024; Toivonen et al., 2018; Vásquez-López et al., 2025; Zhou et al., 2024"
competencies_no_evidence (T4 & !T6),25,38.5,"Baranov et al., 2022; Barletta et al., 2025; Boltsi et al., 2025; Chen et al., 2025; Cortes et al., 2020; Cruz Salazar et al., 2025; Eriksson et al., 2022; Fu et al., 2025; Fuertes et al., 2021; Gallego et al., 2025; Hagedorn et al., 2023; Heidarinejad et al., 2023; Hu et al., 2025; Häfner et al., 2024; Jiang et al., 2026; Keaveney et al., 2021; Morris et al., 2023; Nikolaev et al., 2018; Norambuena et al., 2025; Promyoo et al., 2019; Szántó et al., 2024; Tjahyadi et al., 2023; Toivonen et al., 2018; Vásquez-López et al., 2025; Zhou et al., 2024"
benefits_no_barriers (T7 & !T8),16,24.6,"Baranov et al., 2022; Bonavolonta et al., 2026; de Melo Freires et al., 2025; Gallego et al., 2025; González-Medina et al., 2026; Guo et al., 2025; Hagedorn et al., 2023; Hu et al., 2025; Machado et al., 2025; Norambuena et al., 2025; Pang et al., 2022; Park et al., 2026; Riess et al., 2023; Sakkas et al., 2025; Terkaj et al., 2024b; Wang et al., 2025a"
barriers_no_benefits (T8 & !T7),23,35.4,"Chen et al., 2025; Cruz Salazar et al., 2025; Eriksson et al., 2022; Jiang et al., 2026; Liljaniemi et al., 2020; Liljaniemi et al., 2025; Morris et al., 2023; Ortiz et al., 2026; Promyoo et al., 2019; Rigó et al., 2026; Harini S., 2026; Speicher et al., 2026; Szántó et al., 2024; Tarng et al., 2024; Tjahyadi et al., 2023; Toivonen et al., 2018; Veitia et al., 2025; Vásquez-López et al., 2025; Wang et al., 2025b; Wu, 2025; Xinyi et al., 2025; Yin, 2025; Zhou et al., 2024"
immersive_proposal_no_evidence (T1 & T5 & !T6),8,12.3,"Heidarinejad et al., 2023; Hu et al., 2025; Häfner et al., 2024; Kumarasinghe et al., 2025; Mourtzis et al., 2022; Szántó et al., 2024; Toivonen et al., 2018; Zhou et al., 2024"
full_stack (T1+T2+T5+T6),3,4.6,"Sakkas et al., 2025; Tarng et al., 2024; Terkaj et al., 2024a"
