,Digital model,Digital shadow,Digital twin,row total
2018,0,1,0,1
2020,0,1,0,1
2021,0,1,0,1
2022,1,0,0,1
2023,0,1,0,1
2024,0,0,2,2
2025,0,3,5,8
2026,0,0,3,3
TOTAL,1,7,10,18
