,Weak,Moderate,Strong,row total
Hybrid physical-virtual,5,1,1,7
Immersive (VR/AR/MR),4,2,0,6
Remote,3,0,0,3
Virtual-only,2,0,0,2
TOTAL,14,3,1,18
